id,title,author,alt_titles,alt_authors,year,publisher,contains_ids
dune-1965,Dune,Frank Herbert,,"Herbert, Frank",1965,Chilton Books,
dune-2005,Dune,Frank Herbert,Dune: Deluxe Edition,"Herbert, Frank",2005,Ace,
dune-messiah,Dune Messiah,Frank Herbert,,"Herbert, Frank",1969,Putnam,
children-of-dune,Children of Dune,Frank Herbert,,"Herbert, Frank",1976,Putnam,
hobbit-1937,The Hobbit,J.R.R. Tolkien,"The Hobbit, or There and Back Again","Tolkien, J. R. R.|John Ronald Reuel Tolkien|JRR Tolkien",1937,Allen & Unwin,
hobbit-1997,The Hobbit,J.R.R. Tolkien,The Hobbit Illustrated Edition,"Tolkien, J. R. R.|John Ronald Reuel Tolkien|JRR Tolkien",1997,HarperCollins,
fellowship,The Fellowship of the Ring,J.R.R. Tolkien,The Lord of the Rings Part One,"Tolkien, J. R. R.|John Ronald Reuel Tolkien",1954,Allen & Unwin,
two-towers,The Two Towers,J.R.R. Tolkien,The Lord of the Rings Part Two,"Tolkien, J. R. R.|John Ronald Reuel Tolkien",1954,Allen & Unwin,
return-king,The Return of the King,J.R.R. Tolkien,The Lord of the Rings Part Three,"Tolkien, J. R. R.|John Ronald Reuel Tolkien",1955,Allen & Unwin,
lotr-omnibus,The Lord of the Rings,J.R.R. Tolkien,The Lord of the Rings: One Volume Edition|LOTR,"Tolkien, J. R. R.|John Ronald Reuel Tolkien",1968,HarperCollins,fellowship|two-towers|return-king
silmarillion,The Silmarillion,J.R.R. Tolkien,,"Tolkien, J. R. R.|Christopher Tolkien",1977,Allen & Unwin,
sorcerers-stone,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Harry Potter and the Philosopher's Stone,"Rowling, J. K.|Joanne Rowling|JK Rowling",1997,Scholastic,
chamber-secrets,Harry Potter and the Chamber of Secrets,J.K. Rowling,,"Rowling, J. K.|Joanne Rowling",1998,Bloomsbury,
prisoner-azkaban,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,,"Rowling, J. K.|Joanne Rowling",1999,Bloomsbury,
goblet-fire,Harry Potter and the Goblet of Fire,J.K. Rowling,,"Rowling, J. K.|Joanne Rowling",2000,Bloomsbury,
order-phoenix,Harry Potter and the Order of the Phoenix,J.K. Rowling,,"Rowling, J. K.|Joanne Rowling",2003,Bloomsbury,
half-blood-prince,Harry Potter and the Half-Blood Prince,J.K. Rowling,,"Rowling, J. K.|Joanne Rowling",2005,Bloomsbury,
deathly-hallows,Harry Potter and the Deathly Hallows,J.K. Rowling,,"Rowling, J. K.|Joanne Rowling",2007,Bloomsbury,
northern-lights,Northern Lights,Philip Pullman,The Golden Compass,"Pullman, Philip",1995,Scholastic,
subtle-knife,The Subtle Knife,Philip Pullman,,"Pullman, Philip",1997,Scholastic,
amber-spyglass,The Amber Spyglass,Philip Pullman,,"Pullman, Philip",2000,Scholastic,
hdm-omnibus,His Dark Materials,Philip Pullman,His Dark Materials Trilogy,"Pullman, Philip",2007,Everyman,northern-lights|subtle-knife|amber-spyglass
idiot-dostoevsky,The Idiot,Fyodor Dostoevsky,Idiot,"Dostoevsky, Fyodor|Fyodor Dostoyevsky|F. M. Dostoevsky|Fyodor Dostoevskii",1869,,
idiot-batuman,The Idiot,Elif Batuman,,"Batuman, Elif",2017,Penguin,
crime-punishment,Crime and Punishment,Fyodor Dostoevsky,Prestuplenie i nakazanie,"Dostoevsky, Fyodor|Fyodor Dostoyevsky|Fyodor Dostoevskii",1866,,
brothers-karamazov,The Brothers Karamazov,Fyodor Dostoevsky,The Karamazov Brothers,"Dostoevsky, Fyodor|Fyodor Dostoyevsky",1880,,
notes-underground,Notes from Underground,Fyodor Dostoevsky,Notes from the Underground,"Dostoevsky, Fyodor|Fyodor Dostoyevsky",1864,,
home-morrison,Home,Toni Morrison,,"Morrison, Toni",2012,Knopf,
home-robinson,Home,Marilynne Robinson,,"Robinson, Marilynne",2008,Farrar Straus and Giroux,
beloved,Beloved,Toni Morrison,,"Morrison, Toni",1987,Knopf,
song-of-solomon,Song of Solomon,Toni Morrison,,"Morrison, Toni",1977,Knopf,
gilead,Gilead,Marilynne Robinson,,"Robinson, Marilynne",2004,Farrar Straus and Giroux,
gift-hyde,The Gift,Lewis Hyde,The Gift: Creativity and the Artist in the Modern World,"Hyde, Lewis",1983,Vintage,
gift-mauss,The Gift,Marcel Mauss,Essai sur le don|The Gift: The Form and Reason for Exchange in Archaic Societies,"Mauss, Marcel",1925,,
the-road,The Road,Cormac McCarthy,,"McCarthy, Cormac",2006,Knopf,
road-less-traveled,The Road Less Traveled,M. Scott Peck,The Road Less Travelled,"Peck, M. Scott|Morgan Scott Peck|M Scott Peck",1978,Simon & Schuster,
blood-meridian,Blood Meridian,Cormac McCarthy,"Blood Meridian, or the Evening Redness in the West","McCarthy, Cormac",1985,Random House,
no-country,No Country for Old Men,Cormac McCarthy,,"McCarthy, Cormac",2005,Knopf,
it,It,Stephen King,IT,"King, Stephen",1986,Viking,
the-shining,The Shining,Stephen King,,"King, Stephen",1977,Doubleday,
the-stand,The Stand,Stephen King,The Stand: The Complete and Uncut Edition,"King, Stephen",1978,Doubleday,
misery,Misery,Stephen King,,"King, Stephen",1987,Viking,
on-writing,On Writing,Stephen King,On Writing: A Memoir of the Craft,"King, Stephen",2000,Scribner,
1984-signet,1984,George Orwell,Nineteen Eighty-Four,"Orwell, George|Eric Arthur Blair|Eric Blair",1950,Signet,
1984-penguin,1984,George Orwell,Nineteen Eighty-Four,"Orwell, George|Eric Arthur Blair",2003,Penguin,
animal-farm,Animal Farm,George Orwell,Animal Farm: A Fairy Story,"Orwell, George|Eric Arthur Blair",1945,Secker & Warburg,
gatsby,The Great Gatsby,F. Scott Fitzgerald,,"Fitzgerald, F. Scott|Francis Scott Fitzgerald|F Scott Fitzgerald",1925,Scribner,
tender-night,Tender Is the Night,F. Scott Fitzgerald,,"Fitzgerald, F. Scott|Francis Scott Fitzgerald",1934,Scribner,
hundred-years,One Hundred Years of Solitude,Gabriel García Márquez,Cien años de soledad|A Hundred Years of Solitude,"Garcia Marquez, Gabriel|Gabriel Garcia Marquez|G. García Márquez|Márquez",1967,Harper,
love-cholera,Love in the Time of Cholera,Gabriel García Márquez,El amor en los tiempos del cólera,"Garcia Marquez, Gabriel|Gabriel Garcia Marquez",1985,Knopf,
kafka-shore,Kafka on the Shore,Haruki Murakami,Umibe no Kafuka,"Murakami, Haruki",2002,Knopf,
norwegian-wood,Norwegian Wood,Haruki Murakami,Noruwei no Mori,"Murakami, Haruki",1987,Kodansha,
1q84,1Q84,Haruki Murakami,,"Murakami, Haruki",2009,Knopf,
wind-up-bird,The Wind-Up Bird Chronicle,Haruki Murakami,The Wind Up Bird Chronicle,"Murakami, Haruki",1994,Knopf,
the-trial,The Trial,Franz Kafka,Der Prozess|The Process,"Kafka, Franz",1925,,
metamorphosis,The Metamorphosis,Franz Kafka,Die Verwandlung|Metamorphosis,"Kafka, Franz",1915,,
the-stranger,The Stranger,Albert Camus,The Outsider|L'Étranger,"Camus, Albert",1942,Gallimard,
the-plague,The Plague,Albert Camus,La Peste,"Camus, Albert",1947,Gallimard,
myth-sisyphus,The Myth of Sisyphus,Albert Camus,Le Mythe de Sisyphe,"Camus, Albert",1942,Gallimard,
war-and-peace,War and Peace,Leo Tolstoy,Voyna i mir,"Tolstoy, Leo|Lev Tolstoy|Leo Tolstoi|Lev Nikolayevich Tolstoy",1869,,
